Źródło,Typ,Wartości żywieniowe na 100g żywności,Energia,Białko,Tłuszcz,Woda,Węglowodany,Wapń,Fosfor,Magnez,Sód,Potas,Chlor,Żelazo,Cynk,Miedź,Mangan,Jod,Selen,Tauryna,Vitamin A,Vitamin D ,Vitamin E ,Vitamin K ,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7 ,Vitamin B9,Vitamin B12,Vitamin C,Kwas linolowy,Kwas arachidonowy
dubarfst,podroby,Cielęcina śledziona,94,18,2,78,,6,272,17,97,326,120,"9,32","1,61","0,13","0,07",0,"61,7",0,"299,7",0,"0,15",,"0,13","0,37","8,2","1,2","0,11",6,8,5,,"0,16",16
dubarfst,podroby,Owca grasica,92,14,4,79,,8,400,21,75,420,120,"1,7","1,9","0,2","0,08",0,9,0,"3,33",0,"0,66",,"0,03","0,25","3,7",1,"0,03",3,13,6,,"0,07",6
dubarfst,podroby,Owca śledziona,104,17,4,79,,7,200,20,84,358,120,"41,89","2,84","0,12","0,05",0,"32,4",0,"299,7",0,"0,15",,"0,09","0,27",5,"1,5","0,11",6,8,6,,"0,28",28
baza polska,podroby,Wieprzowina mózg,139,11,11,77,0,10,340,20,160,326,,"3,8","1,04","0,3","0,03","1,1",,,30,0,2,,"0,16","0,3","4,1",,"0,15",,5,"2,8",18,"0,12",620
dubarfst,podroby,Wieprzowina móżdżek,127,10,9,78,,10,282,14,120,258,0,"1,6","1,27","0,24","0,09",0,"15,9",0,0,0,0,,"0,16","0,28","4,28","2,8","0,19",0,6,"2,19",,"0,09",470
baza polska,podroby,Wieprzowina nerki,102,17,4,78,0,11,246,18,205,313,,8,3,"0,89","0,06","4,4",,,117,40,1,,"0,58","1,74","9,8",,"0,53",,45,17,13,"0,4",230
baza polska,podroby,Wieprzowina nogi,274,23,20,56,0,24,106,12,157,127,,"2,1","2,66","0,35","0,05",1,,,97,24,1,,"0,01","0,07","1,6",,"0,32",,4,"0,7",0,"1,92",130
baza polska,podroby,Wieprzowina ozór,165,17,11,71,0,11,188,18,108,255,,"4,5","2,6","0,23","0,03","1,4",,,30,24,1,,"0,33","0,42","5,3",,"0,35",,8,"3,7",4,"1,1",0
dubarfst,podroby,Wieprzowina płuca,9,18,3,80,,3,230,14,150,243,80,50,"2,03","0,3","0,1",0,"17,8",0,"99,9",0,"0,75",,"0,06","0,21","3,4","0,9","0,1",6,11,2,,"0,14",199
dubarfst,podroby,Wieprzowina śledziona,100,18,3,78,,10,260,13,98,396,0,"22,32","2,54","0,13","0,07",0,"32,8",0,0,0,0,,"0,13","0,3","5,87","1,06","0,06",0,4,"3,26",,"0,19",0
http://www.bda-ieo.it,podroby,Wołowa śledziona,107,19,4,75,0,12,250,22,85,429,250,42,"2,11","0,17","0,07",5,31,,490,,1,,"0,28","0,39","4,4","1,08","0,07","5,7",4,"5,7",46,"0,27",0
dubarfst,podroby,Wołowina móżdżek,127,10,10,76,,10,366,13,167,280,150,"2,14","1,22","0,2","0,04",0,"21,3",0,147,0,"2,24",,"0,13","0,24","3,5","2,5","0,16",6,12,3,,"0,03",338
"dubarfst, vuwi, USDA Database",podroby,Wołowina nerki,96,16,3,78,1,11,245,17,186,234,200,7,"1,9","0,43","0,11","4,1","120,5",23,"928,38","42,5","0,36",0,"0,37","2,33","7,92","3,89","0,5",24,"85,67",31,"10,2","0,1",55
vuwi,podroby,Wołowina ozór,195,16,13,66,4,10,160,18,80,255,13,"2,95","2,87","0,17","0,26",2,,0,"13,32",0,"0,39",0,"0,13","0,29","4,6",2,"0,13",3,5,5,3,,
dubarfst,podroby,Wołowina płuco,94,17,3,79,,12,224,14,198,228,80,"7,5","1,61","0,26","0,1",0,"44,3",0,"183,15",0,"0,75",,"0,09","0,34","4,27",1,"0,07",5,3,3,,"0,13",180
dubarfst,podroby,Wołowina śledziona,96,19,2,77,,7,296,20,99,380,120,9,"2,11","0,17","0,07",0,"62,2",0,"316,35",0,"0,3",,"0,13","0,3","3,9","1,2","0,12",5,10,5,,"0,17",16
dubarfst,serce,Baranina serce,118,16,6,77,,7,175,21,89,280,140,"3,6",2,"0,52","0,02",0,32,0,"3,33",120,"0,55",,"0,37","0,9","6,14","2,63","0,29",4,2,8,,"0,36",58
Średnia,serce,Gęś serce,182,19,12,67,0,,223,,,,,"7,7",,"2,31",,,,,,,,,"0,3","1,2",,,,,,,,"1,5",
Średnia,serce,Jagnięcina serce,116,17,5,77,0,7,192,19,114,291,140,"4,08","1,94","0,46","0,03","3,97","9,57",,9,52,1,,"0,43","0,92","6,79","2,6","0,27",4,"5,4","8,57","5,25",,
Średnia,serce,Kaczka serce,139,15,8,74,2,13,193,16,82,194,,"5,8","1,38","0,37",,,,,107,,1,,"0,17","0,64",8,,,,,,,"0,55",80
vuwi,serce,Cielęcina serce,105,17,4,78,0,5,211,18,77,261,100,"4,24","1,47","0,34","0,03",30,,0,"23,31",40,"0,57",0,"0,52",1,"6,5","2,78","0,29",7,2,11,"5,4","0,08",13
Judy's,serce,Indyk serce,113,17,5,77,,6,222,22,94,295,0,"4,18","3,37","0,39","0,06",0,"35,9",0,107,0,"0,06",0,"0,21","0,97","4,75","3,12","0,44",0,0,"15,4",3,0,0
Średnia dubarfst i vuwi,serce,Kurczak serce,137,16,8,74,0,17,171,17,88,220,100,"3,85","4,85","0,35","0,09",5,0,0,"29,97",0,"1,49",0,"0,37","0,98","6,62","2,56","0,3",2,"49,5","5,65",3,"1,13","394,5"
dubarfst,serce,Owca serce,161,17,10,77,,4,160,16,118,248,140,"6,1","2,12","0,45","0,05",0,32,0,"69,93",120,"0,45",,"0,31","0,88",5,3,"0,29",4,2,5,,"0,63",103
Średnia,serce,Wieprzowina serce,110,17,5,78,,20,168,22,98,317,110,"4,35","2,15","0,39","0,03","2,05",22,,14,14,0,,"0,44","1,12","7,92","2,5","0,43","18,2","6,5","2,7",6,"0,4",129
dubarfst,serce,Wołowina serce,113,15,5,78,,4,214,17,95,240,95,"4,2","1,4","0,31","0,03","1,8",14,0,"19,98",40,"0,3",,"0,34","0,75","35,83","2,5","0,26",2,20,10,,"0,61",8
dubarfst,zoladek,Cielęcina żołądek,134,15,8,73,,15,100,6,50,100,80,1,2,"0,2","0,07",0,0,0,"3,33",0,"1,49",,"0,03","0,07","5,7",1,"0,04",6,10,1,,"0,1",13
dubarfst,zoladek,Indyk żołądek,118,19,5,76,,6,140,16,72,322,0,"4,31","2,86","0,11","0,05",0,"29,2",0,0,0,"0,75",,"0,04","0,18","4,78","0,91","0,13","1,9",6,"6,86",,"0,64",100
Średnia,zoladek,Kurczak żołądek,114,18,4,76,1,8,135,13,69,188,,"3,5",3,"0,1","0,07","0,4","25,5",,217,4,0,,"0,09","0,05",6,"0,75","0,12",1,"45,5","0,6",3,"0,86",320
dubarfst,zoladek,Wieprzowina żołądek,159,17,10,74,,11,130,11,75,140,0,"1,01","1,85","0,17","0,04",0,"31,1",0,0,0,"0,06",,"0,05","0,2","2,48","1,22","0,03",0,3,"0,3",,"0,72",110
vuwi,zoladek,Wołowina żołądek,94,15,4,81,0,15,79,8,46,19,80,"1,95","2,47","0,09","0,07",5,,0,"3,33","0,4","0,12",0,"0,02","0,07","5,7",0,"0,04",4,6,"0,1",3,"0,05",6
Średnia,zoladek,Kaczka żołądek,127,20,5,73,0,6,139,16,54,194,,"5,33",,"0,13",,,,,2561,,,,"0,09","0,26",,,,,,,,"0,67",
