Źródło,Typ,Wartości żywieniowe na 100g żywności,Energia,Białko,Tłuszcz,Woda,Węglowodany,Wapń,Fosfor,Magnez,Sód,Potas,Chlor,Żelazo,Cynk,Miedź,Mangan,Jod,Selen,Tauryna,Vitamin A,Vitamin D ,Vitamin E ,Vitamin K ,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7 ,Vitamin B9,Vitamin B12,Vitamin C,Kwas linolowy,Kwas arachidonowy
Średnia,mieso,Indyk udo ze skórą,176,19,11,69,0,17,216,21,84,290,64,"1,67","2,7","0,14",,"5,5","6,5",,,17,0,,"0,1","0,22","5,43","0,72","0,41",2,22,"1,67",,"2,04",535
Średnia,mieso,Indyk udziec bez skóry,110,19,3,76,,6,209,24,81,348,55,"0,93","2,81","0,07","0,01","5,5","10,5",,22,13,0,3,"0,08","0,26","6,86","0,72","0,4",2,"23,33","1,57",,"0,65",115
Średnia,mieso,Indyk udziec ze skórą,126,18,6,75,,6,207,25,76,352,55,"0,9","2,58","0,1","0,01",6,6,,133,16,1,,"0,08","0,23","7,87","0,69","0,42",2,21,"1,35",,"1,02",140
vuwi,mieso,Jagnięcina,267,17,22,61,0,12,160,22,58,230,,"1,57","3,33","0,1","0,02",,"19,8",47,0,,"0,31",,"0,12","0,22","6,1","0,67","0,13",,,"2,39",0,,
vuwi,mieso,Jagnięcina chuda,134,20,5,73,0,10,189,26,66,280,,"1,77","4,06","0,12","0,02",,"23,4",47,0,,"0,31",,"0,13","0,23",6,"0,7","0,16",,,"2,62",0,,
Judy's,mieso,Jagnięcina filety,113,20,3,75,,12,190,27,68,276,79,"1,91","3,19","0,13","0,02","0,7",0,47,0,0,"0,28",0,"0,13","0,23","6,51","0,66","0,17",0,24,2,0,"0,11",30
Judy's,mieso,Jagnięcina gulasz,222,17,17,65,,16,165,21,63,241,75,"1,54","4,15","0,1","0,02","0,7",0,47,0,0,"0,33",0,"0,11","0,21","5,61","0,69","0,14",0,20,2,0,"0,46",49
Średnia,mieso,Jagnięcina łopatka,209,18,15,65,,9,172,19,65,272,63,"1,32","3,42","0,09","0,02","1,85","4,53",,100,13,1,,"0,14","0,22","5,33","0,55","0,2",1,"2,53","1,78","0,33","0,31",
Średnia,mieso,Jagnięcina udziec,180,19,12,68,,7,183,23,62,312,59,"1,52","2,91","0,08","0,01","1,84","3,73",,47,18,0,,"0,15","0,24","5,2","0,9","0,87","1,5",5,"1,28","0,2","0,12",100
dubarfst,mieso,Jeleń,113,21,3,74,,10,197,21,62,306,40,"2,31","3,21","0,17","0,02",0,"9,7",0,"3,33",0,"0,19",,"0,25","0,25","3,78","0,8","0,3",0,5,1,,"0,12",16
dubarfst,mieso,Kaczka,119,18,5,76,,11,203,22,86,297,85,"1,2","1,35","0,14","0,02","1,2",24,0,"79,92",0,0,,"0,36","0,45","9,47","1,6","0,34",0,48,"0,4",,"0,31",16
Judy's,mieso,Kaczka mięso ze skórą,225,18,17,64,,14,200,22,38,210,85,"2,4","1,84","0,24","0,05","1,2",0,0,"169,83",0,0,0,"0,3","0,2","3,5","0,95","0,33",6,25,0,0,"1,93",16
dubarfst,mieso,Kaczka pierś bez skóry,119,20,4,75,,3,186,22,57,270,85,"4,5","0,74",0,0,0,0,0,"53,28",0,0,,"0,42","0,31","8,07",0,"0,63",0,48,"0,8",,"0,48",16
Średnia,mieso,Kaczka tuszka,352,14,33,53,0,9,137,14,72,216,62,"1,71","1,51","0,22","0,03","1,2",,,218,42,1,,"0,17","0,36","3,66","0,95","0,24",,10,"1,13",,"4,23",30
Średnia,mieso,Kaczka udo,295,15,26,56,0,11,121,15,56,178,71,"1,94","1,26","0,45","0,03",1,"1,9",,152,,,,"0,26","0,22","3,5","0,95","0,33",6,7,"0,3",,"3,8",
Średnia,mieso,Konina mięso bez kości,145,20,7,72,0,11,193,22,56,314,,"3,53","3,1","0,98","0,01",1,4,,96,15,1,,"0,14","0,25","4,52","0,6","0,49","2,6",7,"3,08","0,32","0,78",136
dubarfst,mieso,Koźlina,149,20,8,76,,10,185,20,50,300,9,2,3,"0,2","0,02",0,"8,8",0,"119,88",0,"1,49",,"0,15","0,28","4,9","0,5","0,3",1,5,3,,"0,29",37
vuwi,mieso,Królik domowy chude mięso,109,22,2,75,0,12,226,29,50,380,70,"3,2","1,4","0,5","0,04",1,,0,"9,99",0,"0,75",0,"0,03","0,06",8,"0,8","0,4",1,4,10,0,,
